DATE,mode
2013-07-31,MOM_MR
2013-08-01,MOM_MR
2013-08-02,MOM_MR
2013-08-05,MOM_MR
2013-08-06,MOM_MR
2013-08-07,MOM_MR
2013-08-08,MOM_MR
2013-08-09,MOM_MR
2013-08-12,MOM_MR
2013-08-13,MOM_MR
2013-08-14,MOM_MR
2013-08-15,MOM_MR
2013-08-16,MOM_MR
2013-08-19,MOM_MR
2013-08-20,MOM_MR
2013-08-21,MOM_MR
2013-08-22,MOM_MR
2013-08-23,MOM_MR
2013-08-26,MOM_MR
2013-08-27,MOM_MR
2013-08-28,MOM_MR
2013-08-29,MOM_MR
2013-08-30,MOM_MR
2013-09-03,MOM_MR
2013-09-04,MOM_MR
2013-09-05,MOM_MR
2013-09-06,MOM_MR
2013-09-09,MOM_MR
2013-09-10,MOM_MR
2013-09-11,MOM_MR
2013-09-12,MOM_MR
2013-09-13,MOM_MR
2013-09-16,MOM_MR
2013-09-17,MOM_MR
2013-09-18,MOM_MR
2013-09-19,MOM_MR
2013-09-20,MOM_MR
2013-09-23,MOM_MR
2013-09-24,MOM_MR
2013-09-25,MOM_MR
2013-09-26,MOM_MR
2013-09-27,MOM_MR
2013-09-30,MOM_MR
2013-10-01,MOM_MR
2013-10-02,MOM_MR
2013-10-03,MOM_MR
2013-10-04,MOM_MR
2013-10-07,MOM_MR
2013-10-08,MOM_MR
2013-10-09,MOM_MR
2013-10-10,MOM_MR
2013-10-11,MOM_MR
2013-10-14,MOM_MR
2013-10-15,MOM_MR
2013-10-16,MOM_MR
2013-10-17,MOM_MR
2013-10-18,MOM_MR
2013-10-21,MOM_MR
2013-10-22,MOM_MR
2013-10-23,MOM_MR
2013-10-24,MOM_MR
2013-10-25,MOM_MR
2013-10-28,MOM_MR
2013-10-29,MOM_MR
2013-10-30,MOM_MR
2013-10-31,MOM_MR
2013-11-01,MOM_MR
2013-11-04,MOM_MR
2013-11-05,MOM_MR
2013-11-06,MOM_MR
2013-11-07,MOM_MR
2013-11-08,MOM_MR
2013-11-11,MOM_MR
2013-11-12,MOM_MR
2013-11-13,MOM_MR
2013-11-14,MOM_MR
2013-11-15,MOM_MR
2013-11-18,MOM_MR
2013-11-19,MOM_MR
2013-11-20,MOM_MR
2013-11-21,MOM_MR
2013-11-22,MOM_MR
2013-11-25,MOM_MR
2013-11-26,FLAT
2013-11-27,FLAT
2013-11-29,FLAT
2013-12-02,FLAT
2013-12-03,FLAT
2013-12-04,FLAT
2013-12-05,FLAT
2013-12-06,FLAT
2013-12-09,FLAT
2013-12-10,FLAT
2013-12-11,FLAT
2013-12-12,FLAT
2013-12-13,FLAT
2013-12-16,FLAT
2013-12-17,FLAT
2013-12-18,FLAT
2013-12-19,FLAT
2013-12-20,FLAT
2013-12-23,FLAT
2013-12-24,FLAT
2013-12-26,FLAT
2013-12-27,MOM_MR
2013-12-30,MOM_MR
2013-12-31,MOM_MR
2014-01-02,MOM_MR
2014-01-03,MOM_MR
2014-01-06,MOM_MR
2014-01-07,MOM_MR
2014-01-08,MOM_MR
2014-01-09,MOM_MR
2014-01-10,MOM_MR
2014-01-13,MOM_MR
2014-01-14,MOM_MR
2014-01-15,MOM_MR
2014-01-16,MOM_MR
2014-01-17,MOM_MR
2014-01-21,MOM_MR
2014-01-22,MOM_MR
2014-01-23,MOM_MR
2014-01-24,MOM_MR
2014-01-27,MOM_MR
2014-01-28,MOM_MR
2014-01-29,FLAT
2014-01-30,FLAT
2014-01-31,FLAT
2014-02-03,FLAT
2014-02-04,FLAT
2014-02-05,FLAT
2014-02-06,FLAT
2014-02-07,FLAT
2014-02-10,FLAT
2014-02-11,FLAT
2014-02-12,FLAT
2014-02-13,FLAT
2014-02-14,FLAT
2014-02-18,FLAT
2014-02-19,FLAT
2014-02-20,FLAT
2014-02-21,FLAT
2014-02-24,FLAT
2014-02-25,FLAT
2014-02-26,FLAT
2014-02-27,FLAT
2014-02-28,FLAT
2014-03-03,FLAT
2014-03-04,FLAT
2014-03-05,FLAT
2014-03-06,FLAT
2014-03-07,FLAT
2014-03-10,FLAT
2014-03-11,FLAT
2014-03-12,FLAT
2014-03-13,FLAT
2014-03-14,FLAT
2014-03-17,FLAT
2014-03-18,FLAT
2014-03-19,FLAT
2014-03-20,FLAT
2014-03-21,FLAT
2014-03-24,FLAT
2014-03-25,FLAT
