base,slope,mom_win,k,thresh,tl_c,ts_c,tl_s,cd,sharpe,ann_ret,vol,mdd,n_events,eq_final
ALL|std|w63,5Y-2Y,63,0.15,opt_tight,-3.25,2.75,-4.0,5,0.21678256051965697,0.043272980492245594,0.10735633178451776,-0.23607758712951288,34,2.060660513767188
ALL|std|w63,5Y-2Y,63,0.15,opt_loose,-3.5,2.75,-4.0,5,0.21678256051965697,0.043272980492245594,0.10735633178451776,-0.23607758712951288,32,2.060660513767188
ALL|std|w63,5Y-2Y,63,0.15,baseline,-3.5,3.0,-4.0,5,0.22188908013659434,0.04272551117682144,0.10241833966246412,-0.2360775871295132,22,2.042282132957587
ALL|std|w63,5Y-2Y,63,0.15,aggr,-3.0,2.5,-3.5,5,0.08556381662804159,0.02911918527860391,0.10657758896200645,-0.2350222961670546,43,1.6321399914901544
ALL|std|w63,5Y-2Y,63,0.2,opt_tight,-3.25,2.75,-4.0,5,0.21678256051965697,0.043272980492245594,0.10735633178451776,-0.23607758712951288,34,2.060660513767188
ALL|std|w63,5Y-2Y,63,0.2,opt_loose,-3.5,2.75,-4.0,5,0.21678256051965697,0.043272980492245594,0.10735633178451776,-0.23607758712951288,32,2.060660513767188
ALL|std|w63,5Y-2Y,63,0.2,baseline,-3.5,3.0,-4.0,5,0.23978911431934702,0.04459862433105166,0.10258440797396515,-0.23607758712951288,26,2.1058090047599625
ALL|std|w63,5Y-2Y,63,0.2,aggr,-3.0,2.5,-3.5,5,0.23165564213881643,0.044468591640504984,0.10562484649453312,-0.23502229616705395,48,2.1013395276338307
ALL|std|w63,5Y-2Y,63,0.25,opt_tight,-3.25,2.75,-4.0,5,0.2078193286189602,0.04232498248630989,0.10742495721965822,-0.23607758712951288,37,2.028934366388109
ALL|std|w63,5Y-2Y,63,0.25,opt_loose,-3.5,2.75,-4.0,5,0.2078193286189602,0.04232498248630989,0.10742495721965822,-0.23607758712951288,36,2.028934366388109
ALL|std|w63,5Y-2Y,63,0.25,baseline,-3.5,3.0,-4.0,5,0.23978911431934702,0.04459862433105166,0.10258440797396515,-0.23607758712951288,28,2.1058090047599625
ALL|std|w63,5Y-2Y,63,0.25,aggr,-3.0,2.5,-3.5,5,0.2156356634846668,0.043222508873786536,0.10769326603267468,-0.23502229616705395,54,2.058959703616298
ALL|std|w63,5Y-2Y,63,0.3,opt_tight,-3.25,2.75,-4.0,5,0.18972130316844674,0.04007182015669919,0.10579634348641459,-0.23607758712951266,37,1.9553643936164908
ALL|std|w63,5Y-2Y,63,0.3,opt_loose,-3.5,2.75,-4.0,5,0.18972130316844674,0.04007182015669919,0.10579634348641459,-0.23607758712951266,36,1.9553643936164908
ALL|std|w63,5Y-2Y,63,0.3,baseline,-3.5,3.0,-4.0,5,0.24353236981522425,0.04497969946506575,0.1025723992421157,-0.23607758712951266,28,2.118958900693907
ALL|std|w63,5Y-2Y,63,0.3,aggr,-3.0,2.5,-3.5,5,0.2212203229458459,0.04387418256357822,0.10792038563935445,-0.23502229616705395,56,2.081022006623613
ALL|std|w63,5Y-2Y,63,0.4,opt_tight,-3.25,2.75,-4.0,5,0.1995351969467021,0.041482180530475476,0.10766110871263272,-0.2360775871295121,44,2.0011154346742717
ALL|std|w63,5Y-2Y,63,0.4,opt_loose,-3.5,2.75,-4.0,5,0.13786195590866027,0.035308501198205056,0.11104224582703313,-0.2360775871295121,40,1.8080185187478093
ALL|std|w63,5Y-2Y,63,0.4,baseline,-3.5,3.0,-4.0,5,0.19627712377770928,0.040722254311825745,0.10557651300869084,-0.23607758712951266,34,1.976340260495527
ALL|std|w63,5Y-2Y,63,0.4,aggr,-3.0,2.5,-3.5,5,0.2354483107345665,0.04514807336805737,0.10680931746589654,-0.23502229616705395,67,2.124793628794957
ALL|std|w63,5Y-2Y,63,0.5,opt_tight,-3.25,2.75,-4.0,5,0.21358305583912016,0.04282377987430919,0.1068613789827084,-0.2360775871295121,51,2.045569579373954
ALL|std|w63,5Y-2Y,63,0.5,opt_loose,-3.5,2.75,-4.0,5,0.17973616798077593,0.040080524805037765,0.11172222614196115,-0.2360775871295121,48,1.955643721123925
ALL|std|w63,5Y-2Y,63,0.5,baseline,-3.5,3.0,-4.0,5,0.2289518775073139,0.04410638141946377,0.105290167007666,-0.23607758712951266,40,2.088936693896159
ALL|std|w63,5Y-2Y,63,0.5,aggr,-3.0,2.5,-3.5,5,0.20763683548721132,0.04199630225805828,0.10593641637065437,-0.2748587724076814,76,2.0180423701898937
ALL|std|w63,5Y-2Y,126,0.1,opt_tight,-3.25,2.75,-4.0,5,0.284551955154503,0.04985818327594416,0.10493051527174388,-0.2360775871295132,30,2.294279482943452
ALL|std|w63,5Y-2Y,126,0.1,opt_loose,-3.5,2.75,-4.0,5,0.284551955154503,0.04985818327594416,0.10493051527174388,-0.2360775871295132,29,2.294279482943452
ALL|std|w63,5Y-2Y,126,0.1,baseline,-3.5,3.0,-4.0,5,0.17120225018235422,0.03614464883877666,0.0943016159050501,-0.23607758712951166,17,1.8331029974909614
ALL|std|w63,5Y-2Y,126,0.1,aggr,-3.0,2.5,-3.5,5,0.011961826437488495,0.021297123678934993,0.10843859720868315,-0.2635287541728314,42,1.4328583324267627
ALL|std|w63,5Y-2Y,126,0.15,opt_tight,-3.25,2.75,-4.0,5,0.284551955154503,0.04985818327594416,0.10493051527174388,-0.2360775871295132,32,2.294279482943452
ALL|std|w63,5Y-2Y,126,0.15,opt_loose,-3.5,2.75,-4.0,5,0.284551955154503,0.04985818327594416,0.10493051527174388,-0.2360775871295132,30,2.294279482943452
ALL|std|w63,5Y-2Y,126,0.15,baseline,-3.5,3.0,-4.0,5,0.24048144690564627,0.044300681103747186,0.10105012846700662,-0.23607758712951166,21,2.095581325723109
ALL|std|w63,5Y-2Y,126,0.15,aggr,-3.0,2.5,-3.5,5,0.07184917368403666,0.027688828176217983,0.10701345307087749,-0.2635287541728313,44,1.5938520000224883
ALL|std|w63,5Y-2Y,126,0.2,opt_tight,-3.25,2.75,-4.0,5,0.27481037938508823,0.04853214254128835,0.10382483589277618,-0.23607758712951032,33,2.245319617973201
